year,new_hpv_screens,new_poc_hpv_screens,new_ave_screens,new_via_screens,new_thermal_ablations,new_leeps,new_cancer_treatments,new_cancers,new_cancer_deaths,new_other_deaths,av_age_cancers,av_age_cancer_deaths,av_age_other_deaths,location,seed,primary,triage,precin,cin1,cin2,cin3,cancerous,ltfu,scen_label
2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24068.393310546875,13039.809814453125,3215624.0,47.98406982421875,55.047672271728516,,nigeria,1,,,,,,,,,No screening
2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24444.116821289062,14078.57470703125,3352343.25,47.18668746948242,55.99163055419922,,nigeria,1,,,,,,,,,No screening
2049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25136.626708984375,14270.119873046875,3297332.75,48.32423400878906,56.828216552734375,,nigeria,1,,,,,,,,,No screening
2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24643.029174804688,14336.422607421875,3414720.5,47.06392288208008,55.204288482666016,,nigeria,1,,,,,,,,,No screening
2051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25829.135864257812,14734.24853515625,3390748.0,47.81493377685547,56.2988166809082,,nigeria,1,,,,,,,,,No screening
2052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26602.683837890625,15515.16259765625,3508474.5,48.09019470214844,56.197444915771484,,nigeria,1,,,,,,,,,No screening
2053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28105.577880859375,16089.797607421875,3580333.25,48.016597747802734,56.71348190307617,,nigeria,1,,,,,,,,,No screening
2054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28348.692504882812,16082.43017578125,3597948.5,47.728614807128906,55.96086883544922,,nigeria,1,,,,,,,,,No screening
2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28768.619018554688,17032.788818359375,3631498.0,47.81400680541992,55.411563873291016,,nigeria,1,,,,,,,,,No screening
2056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29792.648681640625,17614.791015625,3683038.5,48.24137878417969,55.7213249206543,,nigeria,1,,,,,,,,,No screening
2057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30116.802612304688,17489.5498046875,3747265.0,48.684329986572266,55.65298080444336,,nigeria,1,,,,,,,,,No screening
2058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30227.309936523438,18535.6826171875,3834285.75,48.68292236328125,55.59063720703125,,nigeria,1,,,,,,,,,No screening
2059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31052.426879882812,18579.88525390625,3821967.75,48.09441375732422,55.91666793823242,,nigeria,1,,,,,,,,,No screening
2060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33034.18200683594,19102.951171875,3853042.25,48.576988220214844,55.80712127685547,,nigeria,1,,,,,,,,,No screening
2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11993.677917480469,5886.33203125,2203071.75,45.83035659790039,55.498779296875,,nigeria,2,,,,,,,,,No screening
2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11757.929870605469,6048.408935546875,2242051.5,46.83439254760742,55.58373260498047,,nigeria,2,,,,,,,,,No screening
2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11934.740997314453,6696.7158203125,2210873.75,47.73979568481445,56.16666793823242,,nigeria,2,,,,,,,,,No screening
2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13061.9111328125,6755.65283203125,2233844.5,47.143280029296875,53.91319274902344,,nigeria,2,,,,,,,,,No screening
2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13039.809204101562,6696.7159423828125,2285215.5,45.717594146728516,55.82819747924805,,nigeria,2,,,,,,,,,No screening
2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13223.987548828125,7345.0225830078125,2335164.5,47.24575424194336,55.38832092285156,,nigeria,2,,,,,,,,,No screening
2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12929.302429199219,7470.2635498046875,2319686.0,46.55093765258789,55.31999969482422,,nigeria,2,,,,,,,,,No screening
2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14329.055603027344,7109.274658203125,2314175.5,46.903194427490234,55.51388931274414,,nigeria,2,,,,,,,,,No screening
2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14498.499572753906,7735.4796142578125,2453598.25,46.171295166015625,55.161170959472656,,nigeria,2,,,,,,,,,No screening
2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14888.956604003906,7949.1259765625,2462829.5,46.088401794433594,55.61406707763672,,nigeria,2,,,,,,,,,No screening
2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15522.529479980469,8118.56982421875,2432941.0,47.554630279541016,56.788150787353516,,nigeria,2,,,,,,,,,No screening
2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16251.874877929688,9061.561767578125,2485343.5,47.22005081176758,56.00419616699219,,nigeria,2,,,,,,,,,No screening
2032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15625.66845703125,8825.813598632812,2559051.5,48.45873260498047,55.97149658203125,,nigeria,2,,,,,,,,,No screening
2033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16443.419982910156,9091.030029296875,2642182.0,46.82286071777344,55.860389709472656,,nigeria,2,,,,,,,,,No screening
2034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16789.675170898438,9194.169677734375,2650300.5,48.35807418823242,54.99565124511719,,nigeria,2,,,,,,,,,No screening
2035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17695.830444335938,9378.347900390625,2609744.5,47.262733459472656,57.136962890625,,nigeria,2,,,,,,,,,No screening
